Price(Dollars/Unit),HarvestedAcres,Production
622,22261,80112
732,22152,80155
773,24168,98687
714,25245,89084
768,24831,99996
772,25690,101407
757,27653,113220
820,28970,100180
982,29243,99777
1157,27858,132849
1229,28846,114304
1260,29993,138322
1240,31155,135256
1205,32034,111589
1213,32239,121292
1310,31514,109842
1512,30919,100251
1724,31184,144217
1910,30875,102355
2143,30506,103526
2464,32365,136962
2802,35095,126438
2920,37072,130099
2985.7,39106,128814
2915.56,40439,119874
2987.43,41910,181025
3070.33,42188,152776
3256.77,42338,145115
3451.57,42870,115864
3462.25,43031,142976
3265.35,43300,139000
3470.84,43600,122000
3585.99,43200,183000
3749.91,43600,175000
4061.43,43600,176000
4410.76,43000,124000
4768.02,43400,153000
5287.55,43600,142000
5614.05,43400,185000
5862.26,44200,160000
4646.48,45200,99300
