Tahun,Harga (Dollars/Unit),Hektar yang Dipanen,Hasil (Unit/Acre),Produksi
1980,622,22261,3.6,80112
1981,732,22152,3.62,80155
1982,773,24168,4.08,98687
1983,714,25245,3.53,89084
1984,768,24831,4.03,99996
1985,772,25690,3.95,101407
1986,757,27653,4.09,113220
1987,820,28970,3.46,100180
1988,982,29243,3.41,99777
1989,1157,27858,4.77,132849
1990,1229,28846,3.96,114304
1991,1260,29993,4.61,138322
1992,1240,31155,4.34,135256
1993,1205,32034,3.48,111589
1994,1213,32239,3.76,121292
1995,1310,31514,3.49,109842
1996,1512,30919,3.24,100251
1997,1724,31184,4.62,144217
1998,1910,30875,3.32,102355
1999,2143,30506,3.39,103526
2000,2464,32365,4.23,136962
2001,2802,35095,3.6,126438
2002,2920,37072,3.51,130099
2003,2985.7,39106,3.29,128814
2004,2915.56,40439,2.96,119874
2005,2987.43,41910,4.32,181025
2006,3070.33,42188,3.62,152776
2007,3256.77,42338,3.43,145115
2008,3451.57,42870,2.7,115864
2009,3462.25,43031,3.32,142976
2010,3265.35,43300,3.21,139000
2011,3470.84,43600,2.8,122000
2012,3585.99,43200,4.24,183000
2013,3749.91,43600,4.01,175000
2014,4061.43,43600,4.04,176000
2015,4410.76,43000,2.88,124000
2016,4768.02,43400,3.53,153000
2017,5287.55,43600,3.26,142000
2018,5614.05,43400,4.26,185000
2019,5862.26,44200,3.62,160000
2020,4646.48,45200,2.2,99300
